自定义相机编号,日期,CCD4结果,高度1,高度2
L29R5,08:21:01,OK,0.10,0.11,
L29R5,08:23:21,OK,0.13,0.12,
L29R5,08:25:33,OK,0.12,0.11,
L29R5,08:26:34,OK,0.10,0.09,
L29R5,08:39:38,OK,0.15,0.11,
L29R5,08:41:58,OK,0.10,0.11,
L29R5,09:54:14,OK,0.11,0.12,
L29R5,09:55:06,OK,0.11,0.12,
L29R5,10:55:04,OK,0.11,0.10,
L29R5,10:55:46,OK,0.11,0.07,
L29R5,11:04:24,OK,0.11,0.11,
L29R5,11:05:17,OK,0.10,0.10,
L29R5,11:55:37,OK,0.09,0.11,
L29R5,11:56:19,OK,0.09,0.14,
L29R5,12:47:19,OK,0.10,0.12,
L29R5,12:48:45,OK,0.10,0.08,
L29R5,13:08:02,OK,0.09,0.11,
L29R5,13:08:50,OK,0.11,0.09,
L29R5,13:17:13,OK,0.09,0.09,
L29R5,13:21:29,OK,0.11,0.11,
L29R5,13:50:32,OK,0.11,0.11,
L29R5,13:51:59,OK,0.12,0.10,
L29R5,13:57:18,OK,0.10,0.09,
L29R5,13:58:11,OK,0.11,0.13,
L29R5,14:00:27,OK,0.13,0.10,
L29R5,14:01:54,OK,0.11,0.10,
L29R5,14:42:53,OK,0.13,0.12,
L29R5,14:44:14,OK,0.12,0.14,
L29R5,14:54:37,OK,0.11,0.11,
L29R5,14:55:20,OK,0.14,0.09,
L29R5,15:38:35,OK,0.11,0.10,
L29R5,15:48:31,OK,0.10,0.09,
L29R5,15:56:38,OK,0.10,0.12,
L29R5,15:59:36,OK,0.09,0.11,
L29R5,16:04:47,OK,0.09,0.13,
L29R5,16:06:09,OK,0.10,0.12,
L29R5,16:06:17,OK,0.11,0.15,
L29R5,16:06:59,OK,0.12,0.12,
L29R5,16:52:28,OK,0.11,0.14,
L29R5,16:53:09,OK,0.10,0.11,
L29R5,16:59:33,OK,0.11,0.12,
L29R5,17:01:00,OK,0.12,0.13,
L29R5,17:03:16,OK,0.12,0.10,
L29R5,17:04:08,OK,0.11,0.09,
L29R5,17:14:59,OK,0.13,0.14,
L29R5,17:17:35,OK,0.16,0.10,
L29R5,17:18:47,OK,0.10,0.10,
L29R5,17:20:54,OK,0.09,0.13,
L29R5,17:58:02,OK,0.11,0.15,
L29R5,17:59:34,OK,0.10,0.13,
L29R5,18:00:14,OK,0.11,0.14,
L29R5,18:01:39,OK,0.11,0.10,
L29R5,18:03:14,OK,0.11,0.09,
L29R5,18:04:34,OK,0.11,0.10,
L29R5,18:16:02,OK,0.10,0.11,
L29R5,18:17:02,OK,0.10,0.15,
L29R5,18:23:01,OK,0.11,0.09,
L29R5,18:23:45,OK,0.12,0.10,
L29R5,18:24:41,OK,0.11,0.09,
L29R5,18:25:36,OK,0.12,0.13,
L29R5,18:33:17,OK,0.13,0.09,
L29R5,18:34:06,OK,0.12,0.09,
L29R5,19:01:02,OK,0.10,0.12,
L29R5,19:01:52,OK,0.10,0.10,
L29R5,19:02:08,OK,0.13,0.09,
L29R5,19:02:55,OK,0.15,0.11,
